"","class 1: ","class 2: ","class 3: ","class 4: ","class 5: "
"RQ1.1",0.404,0.374,0.539,0.37,0.569
"RQ1.2",0.163,0.184,0.183,0.194,0.165
"RQ1.3",0.11,0.106,0.091,0.124,0.081
"RQ1.4",0.324,0.336,0.187,0.313,0.185
"Q3.1",0.299,0.721,0.68,0.089,0.476
"Q3.2",0.068,0.098,0.148,0.022,0.269
"Q3.3",0.587,0.155,0.083,0.872,0.154
"Q3.4",0.012,0.009,0.066,0,0.076
"Q3.5",0.003,0,0.004,0,0.002
"Q3.6",0.031,0.018,0.02,0.017,0.023
"Q4.1",0.872,0.876,0.929,0.871,0.957
"Q4.2",0.08,0.043,0.013,0.093,0.022
"Q4.3",0.048,0.081,0.058,0.036,0.021
"RQ2A2.1",0.078,0.172,0.049,0.106,0
"RQ2A2.2",0.617,0.688,0.368,0.487,0
"RQ2A2.3",0.204,0.139,0.187,0.132,0.172
"RQ2A2.11",0.1,0,0.328,0.215,0.69
"RQ2A2.12",0,0,0.068,0.06,0.138
"C총액1인MIS.1",0,0.391,0.165,0.062,0.041
"C총액1인MIS.2",0.07,0.548,0.354,0.155,0.214
"C총액1인MIS.3",0.307,0.061,0.283,0.234,0.356
"C총액1인MIS.4",0.388,0,0.153,0.313,0.303
"C총액1인MIS.5",0.236,0,0.045,0.235,0.086
"RDAY평균.1",0,0.025,0.047,0.021,0.038
"RDAY평균.2",0,0.067,0.116,0.031,0.146
"RDAY평균.3",0,0.663,0.576,0.254,0.716
"RDAY평균.4",0.425,0.234,0.21,0.28,0.101
"RDAY평균.5",0.575,0.011,0.05,0.415,0
"Q7.1",0,0.001,0.005,0.001,0
"Q7.2",0,0.002,0.009,0.007,0
"Q7.3",0.006,0.007,0.071,0.099,0.002
"Q7.4",0.093,0.106,0.766,0.758,0.07
"Q7.5",0.9,0.885,0.149,0.135,0.928
"Q8.1",0.002,0.001,0.027,0.003,0.008
"Q8.2",0.003,0.004,0.056,0.034,0.028
"Q8.3",0.03,0.018,0.165,0.171,0.053
"Q8.4",0.061,0.054,0.672,0.656,0.084
"Q8.5",0.904,0.923,0.081,0.136,0.828
"Q9.1",0,0,0.008,0.002,0
"Q9.2",0,0,0.007,0.013,0
"Q9.3",0.002,0,0.086,0.119,0.001
"Q9.4",0.016,0.017,0.826,0.796,0.018
"Q9.5",0.982,0.983,0.074,0.07,0.981
"D_BUN.1",0.047,0.012,0.078,0.131,0.099
"D_BUN.2",0.343,0.143,0.215,0.301,0.283
"D_BUN.3",0.333,0.231,0.339,0.289,0.392
"D_BUN.4",0.277,0.615,0.368,0.279,0.226
"D_SEX.1",0.648,0.327,0.338,0.852,0.407
"D_SEX.2",0.352,0.673,0.662,0.148,0.593
"D_AGE.1",0.019,0.041,0.064,0,0.073
"D_AGE.2",0.184,0.406,0.447,0.143,0.458
"D_AGE.3",0.297,0.251,0.233,0.358,0.233
"D_AGE.4",0.262,0.165,0.116,0.304,0.107
"D_AGE.5",0.185,0.103,0.091,0.16,0.086
"D_AGE.6",0.052,0.034,0.049,0.034,0.044
